n,xm,ym,zm,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
187,5.333330,-4.444440,1.000000,0.273294,-0.330160,0.299711,-0.285907,0.382233,-0.329323,0.314015,-0.291381,0.286164,-0.168233
188,6.222220,-4.944440,1.000000,0.456117,-0.460218,0.494045,-0.423438,0.564115,-0.470423,0.470910,-0.402005,0.443570,-0.239053
189,6.722220,-4.944440,1.000000,0.557872,-0.458269,0.601232,-0.420520,0.666743,-0.474464,0.555846,-0.395599,0.520192,-0.216373
190,6.722220,-4.444440,1.000000,0.558908,-0.325378,0.597022,-0.279009,0.667408,-0.339235,0.557177,-0.276675,0.504038,-0.108263
191,6.222220,-4.444440,1.000000,0.456295,-0.327071,0.490492,-0.281748,0.563802,-0.335324,0.471583,-0.281997,0.427093,-0.129904
192,0.000000,-5.833330,1.000000,-0.751529,-0.682529,-0.820683,-0.687231,-0.522831,-0.605161,-0.696585,-0.703154,-0.576266,-0.739773
193,0.500000,-5.833330,1.000000,-0.663351,-0.685781,-0.722395,-0.689102,-0.453398,-0.613408,-0.599668,-0.697551,-0.488882,-0.715523
194,0.500000,-5.333330,1.000000,-0.668944,-0.563391,-0.718967,-0.549804,-0.457991,-0.502355,-0.604205,-0.572138,-0.506180,-0.599239
195,0.000000,-5.333330,1.000000,-0.757136,-0.561646,-0.817858,-0.549762,-0.528793,-0.496533,-0.702068,-0.577081,-0.594319,-0.623627
196,0.888889,-5.833330,1.000000,-0.591490,-0.687928,-0.643532,-0.689642,-0.392286,-0.619688,-0.523335,-0.692651,-0.419925,-0.696442
197,1.388890,-5.833330,1.000000,-0.500632,-0.689827,-0.541586,-0.690907,-0.317721,-0.628213,-0.426709,-0.687260,-0.332920,-0.671832
198,1.388890,-5.333330,1.000000,-0.504506,-0.565901,-0.539066,-0.550256,-0.321083,-0.514986,-0.429710,-0.562294,-0.349722,-0.556298
199,0.888889,-5.333330,1.000000,-0.596341,-0.564568,-0.640695,-0.550539,-0.396314,-0.508074,-0.527108,-0.567436,-0.437504,-0.580464
200,1.777780,-5.833330,1.000000,-0.426286,-0.691236,-0.460980,-0.691117,-0.252812,-0.635646,-0.350659,-0.682235,-0.264562,-0.652607
201,2.277780,-5.833330,1.000000,-0.331980,-0.693352,-0.356309,-0.692036,-0.173751,-0.643030,-0.255038,-0.675072,-0.178112,-0.627864
202,2.277780,-5.333330,1.000000,-0.335914,-0.567698,-0.354198,-0.549902,-0.176418,-0.526573,-0.257067,-0.551182,-0.195164,-0.513361
203,1.777780,-5.333330,1.000000,-0.430126,-0.566737,-0.458814,-0.549901,-0.256654,-0.520433,-0.353728,-0.557639,-0.281720,-0.537809
204,2.666670,-5.833330,1.000000,-0.256020,-0.694515,-0.273312,-0.691775,-0.105708,-0.650521,-0.180036,-0.669737,-0.111034,-0.608719
205,3.166670,-5.833330,1.000000,-0.159514,-0.696037,-0.166216,-0.691737,-0.020736,-0.658704,-0.085438,-0.662661,-0.026069,-0.583836
206,3.166670,-5.333330,1.000000,-0.162208,-0.569154,-0.165567,-0.548949,-0.023731,-0.539247,-0.086891,-0.539972,-0.042832,-0.470704
207,2.666670,-5.333330,1.000000,-0.259221,-0.568754,-0.272153,-0.549879,-0.108286,-0.532160,-0.181816,-0.546832,-0.127635,-0.494976
208,3.555560,-5.833330,1.000000,-0.081765,-0.696546,-0.081954,-0.691044,0.049676,-0.665388,-0.011791,-0.657272,0.040103,-0.564554
209,4.055560,-5.833330,1.000000,0.016278,-0.697144,0.026016,-0.689826,0.139294,-0.674343,0.080480,-0.649365,0.123088,-0.539606
210,4.055560,-5.333330,1.000000,0.014726,-0.569444,0.025851,-0.546717,0.137212,-0.550804,0.080226,-0.528499,0.106879,-0.427806
211,3.555560,-5.333330,1.000000,-0.084534,-0.569545,-0.081969,-0.548270,0.047790,-0.544225,-0.012873,-0.534531,0.023532,-0.451781
212,4.444440,-5.833330,1.000000,0.095225,-0.697458,0.111258,-0.689243,0.213436,-0.680611,0.152605,-0.643384,0.188101,-0.520965
213,4.944440,-5.833330,1.000000,0.194816,-0.697380,0.221249,-0.687044,0.306895,-0.689556,0.242733,-0.635906,0.269397,-0.495898
214,4.944440,-5.333330,1.000000,0.194101,-0.568636,0.217204,-0.542815,0.306284,-0.562468,0.243108,-0.515669,0.253040,-0.385309
215,4.444440,-5.333330,1.000000,0.093777,-0.568793,0.110556,-0.545182,0.211931,-0.555704,0.152324,-0.522661,0.171557,-0.409005
216,5.333330,-5.833330,1.000000,0.273991,-0.697166,0.305343,-0.685396,0.384522,-0.695878,0.312702,-0.629746,0.332342,-0.477315
217,5.833330,-5.833330,1.000000,0.374625,-0.696612,0.414260,-0.682681,0.482308,-0.703555,0.400353,-0.621158,0.411222,-0.452928
218,5.833330,-5.333330,1.000000,0.375514,-0.566812,0.412368,-0.538874,0.482787,-0.574541,0.401619,-0.503431,0.395340,-0.343437
219,5.333330,-5.333330,1.000000,0.273943,-0.567758,0.303527,-0.541091,0.383946,-0.567539,0.313390,-0.509950,0.316047,-0.366943
220,6.222220,-5.833330,1.000000,0.454602,-0.695857,0.499255,-0.680469,0.562972,-0.710469,0.468156,-0.615317,0.472578,-0.434436
221,6.722220,-5.833330,1.000000,0.555110,-0.693906,0.607297,-0.676706,0.664536,-0.717523,0.552648,-0.606478,0.548833,-0.410411
222,6.722220,-5.333330,1.000000,0.556728,-0.564717,0.604464,-0.533415,0.665825,-0.585570,0.554548,-0.490135,0.533184,-0.302895
223,6.222220,-5.333330,1.000000,0.455517,-0.565904,0.496647,-0.536264,0.563473,-0.579300,0.469869,-0.497375,0.456535,-0.325434
224,0.000000,-6.722220,1.000000,-0.737777,-0.898127,-0.824003,-0.936894,-0.513926,-0.803428,-0.684345,-0.924569,-0.541201,-0.946199
225,0.500000,-6.722220,1.000000,-0.650656,-0.903094,-0.724475,-0.939763,-0.443823,-0.813660,-0.588599,-0.918525,-0.454336,-0.921384
226,0.500000,-6.222220,1.000000,-0.658438,-0.783779,-0.723829,-0.799703,-0.449967,-0.706441,-0.595308,-0.796625,-0.474007,-0.806256
227,0.000000,-6.222220,1.000000,-0.745806,-0.781476,-0.823497,-0.796790,-0.519939,-0.696787,-0.692171,-0.802571,-0.561349,-0.831772
228,0.888889,-6.722220,1.000000,-0.579279,-0.905767,-0.645073,-0.942238,-0.383173,-0.822653,-0.512826,-0.913667,-0.386225,-0.902087
229,1.388890,-6.722220,1.000000,-0.489080,-0.909703,-0.541939,-0.944081,-0.308712,-0.834230,-0.417696,-0.906332,-0.300063,-0.876595
230,1.388890,-6.222220,1.000000,-0.495133,-0.789584,-0.542129,-0.802842,-0.313447,-0.723727,-0.422712,-0.784984,-0.318314,-0.762533
231,0.888889,-6.222220,1.000000,-0.586152,-0.786616,-0.644634,-0.801162,-0.388143,-0.714224,-0.519476,-0.791970,-0.405740,-0.787429
232,1.777780,-6.722220,1.000000,-0.415235,-0.912687,-0.460499,-0.947652,-0.244667,-0.843360,-0.342505,-0.900718,-0.232445,-0.857041
233,2.277780,-6.722220,1.000000,-0.322890,-0.915400,-0.355102,-0.946092,-0.165545,-0.854694,-0.248541,-0.893766,-0.147344,-0.831026
234,2.277780,-6.222220,1.000000,-0.327988,-0.793916,-0.356127,-0.805447,-0.170590,-0.741218,-0.252338,-0.773048,-0.164949,-0.718328
235,1.777780,-6.222220,1.000000,-0.421869,-0.791578,-0.461370,-0.802849,-0.249393,-0.731451,-0.347877,-0.780126,-0.250819,-0.743438
236,2.666670,-6.722220,1.000000,-0.247136,-0.917484,-0.271587,-0.948673,-0.098745,-0.863421,-0.174484,-0.887284,-0.080176,-0.811191
237,3.166670,-6.722220,1.000000,-0.152091,-0.920299,-0.163900,-0.949289,-0.014610,-0.875208,-0.081224,-0.879108,0.003812,-0.785531
238,3.166670,-6.222220,1.000000,-0.156537,-0.797553,-0.165772,-0.806106,-0.018734,-0.758721,-0.084221,-0.760303,-0.013159,-0.673569
239,2.666670,-6.222220,1.000000,-0.252478,-0.795842,-0.273106,-0.806106,-0.102527,-0.748958,-0.177773,-0.767125,-0.097749,-0.698473
240,3.555560,-6.722220,1.000000,-0.075016,-0.921745,-0.079389,-0.950009,0.055515,-0.884415,-0.008461,-0.872605,0.069678,-0.765392
241,4.055560,-6.722220,1.000000,0.021854,-0.923046,0.029759,-0.949533,0.143764,-0.895200,0.082366,-0.863704,0.152041,-0.739612
242,4.055560,-6.222220,1.000000,0.018152,-0.799585,0.027276,-0.805480,0.140612,-0.776213,0.081041,-0.746178,0.136065,-0.629166
243,3.555560,-6.222220,1.000000,-0.079586,-0.798094,-0.081576,-0.804777,0.052204,-0.765877,-0.011043,-0.753127,0.052898,-0.653382
244,4.444440,-6.722220,1.000000,0.099753,-0.923911,0.115353,-0.948351,0.217445,-0.904342,0.153986,-0.856933,0.216765,-0.719538
245,4.944440,-6.722220,1.000000,0.198183,-0.924715,0.225372,-0.947961,0.310246,-0.915670,0.242654,-0.847705,0.297282,-0.693854
246,4.944440,-6.222220,1.000000,0.195837,-0.800197,0.221982,-0.802449,0.307898,-0.793165,0.242428,-0.730948,0.281922,-0.584215
247,4.444440,-6.222220,1.000000,0.096617,-0.799802,0.112604,-0.803974,0.214610,-0.783342,0.152886,-0.739336,0.200700,-0.609110
248,5.333330,-6.722220,1.000000,0.276644,-0.925036,0.311096,-0.945781,0.387107,-0.924284,0.312043,-0.840695,0.360367,-0.674384
249,5.833330,-6.722220,1.000000,0.376010,-0.924501,0.421067,-0.943494,0.483904,-0.935074,0.398362,-0.830629,0.438651,-0.648086
250,5.833330,-6.222220,1.000000,0.375028,-0.799735,0.416842,-0.798125,0.482556,-0.810009,0.399290,-0.715340,0.423737,-0.540075
251,5.333330,-6.222220,1.000000,0.274626,-0.799138,0.307331,-0.800211,0.385126,-0.800138,0.311960,-0.723915,0.344615,-0.564329
252,6.222220,-6.722220,1.000000,0.455176,-0.924135,0.506238,-0.940735,0.564052,-0.943720,0.465880,-0.823408,0.499901,-0.628720
253,6.722220,-6.722220,1.000000,0.553963,-0.923394,0.615137,-0.937583,0.664262,-0.954061,0.549217,-0.813231,0.575661,-0.603337
254,6.722220,-6.222220,1.000000,0.554340,-0.797813,0.610584,-0.792382,0.663991,-0.826573,0.550959,-0.699845,0.561169,-0.496609
255,6.222220,-6.222220,1.000000,0.454342,-0.798719,0.501980,-0.795322,0.562718,-0.816725,0.466741,-0.708337,0.484827,-0.520602
